Loc,Type,Date,Event,Title,Slides,Recording,Event Link
Virtual,C,7/29/2022,ApacheCon Asia,FLiPN Awesome Streaming with Open Source,https://www.slideshare.net/bunkertor/flipn-awesome-streaming-with-open-source,https://www.youtube.com/watch?v=QTnYVlmyCOw,
Virtual,C,7/29/2022,ApacheCon Asia,Citizen Streaming Engineer:  A How To,https://www.slideshare.net/bunkertor/citizen-streaming-engineer-a-how-to,https://www.youtube.com/watch?v=aJ-IXbrKAOc&t=12s,
Virtual,C,8/2/2022,Python Web Conference,Apache Pulsar Development 101 with Python FLiP-PY,https://www.slideshare.net/bunkertor/python-web-conference-2022-apache-pulsar-development-101-with-python-flippy,,
Virtual,C,8/4/2022,Data Idols,Using the FLiPN Stack for Edge AI,https://www.slideshare.net/bunkertor/using-the-flipn-stack-for-edge-ai-flink-nifi-pulsar-252430538,,
Austin,C,8/5/2022,Current Event,Let's Monitor the Conditions at the Conference,https://www.slideshare.net/bunkertor/current22-lets-monitor-the-conditions-at-the-conference,,
SF,C,8/18/2022,Pulsar Summit US,Apache Pulsar Development 101 with Python,https://www.slideshare.net/bunkertor/apache-pulsar-development-101-with-python,,
Philly,C,9/9/2022,Comcast Labs Connect,Building FLiPN Stack Edge AI Apps,https://www.slideshare.net/bunkertor/building-flipn-stack-edge-ai-applications,,
Virtual,C,9/16/2022,Open Source Summit EU,Deep Dive into Building Streaming Apps with Apache Pulsar,https://www.slideshare.net/bunkertor/oss-eu-deep-dive-into-building-streaming-applications-with-apache-pulsar,https://www.youtube.com/watch?v=mV6i9i3mh5U&t=1043s,
Chicago,C,9/27/2022,JConf.Dev,Apache Pulsar Development 101 with java,https://www.slideshare.net/bunkertor/jconfdev-2022-apache-pulsar-development-101-with-java,https://www.youtube.com/watch?v=yU3UVhLz1Io&t=2075s,
Austin,M,10/3/2022,Aerospike Austin Meetup,Unified Messaging and Streaming,https://www.slideshare.net/bunkertor/meetup-unified-messaging-and-streaming,,
NOLA,C,10/6/2022,ApacheCon NOLA,Citizen Streaming Engineer:  A How To,https://www.slideshare.net/bunkertor/apachecon2022citizen-streaming-engineer-a-how-to,,
NOLA,C,10/6/2022,ApacheCon NOLA,Deep Dive into Building Streaming Apps with Apache Pulsar,https://www.slideshare.net/bunkertor/apachecon2022deep-dive-into-building-streaming-applications-with-apache-pulsar,,
Virtual,P,10/13/2022,Crossing the Streams,Messaging and Event Streaming,https://www.youtube.com/watch?v=S_ITzEH0Nl4&t=7s&ab_channel=StreamNativeCommunity,,
Virtual,C,10/20/2022,Conf42:  KubeNative,Building Realtime Pulsar Apps on K8,https://www.slideshare.net/bunkertor/conf42kubenative-building-realtime-pulsar-apps-on-k8,https://www.youtube.com/watch?v=346PAVtrJNE&t=24s,
Virtual,C,10/28/2022,DokDays NA,Architecting your first event driven serverless streamings app on k8,https://www.slideshare.net/bunkertor/dokdayna2022-architecting-your-first-event-driven-serverless-streaming-applications-on-k8,,
Virtual,P,10/28/2022,Crossing the Streams,the history of pulsar,https://www.youtube.com/watch?v=U8aPBhlvDHU&ab_channel=StreamNativeCommunity,,
Virtual,C,11/2/2022,AI Dev World Virtual,Build ML Enhanced Event Streaming,https://www.slideshare.net/bunkertor/ai-dev-world-2022-build-ml-enhanced-event-streaming,,
NYC,R,11/3/2022,Aerospike Roadshow NYC,Apache Pulsar Unifies Streaming and Messaging,https://www.slideshare.net/bunkertor/aerospikeroadshow-apache-pulsar-unifies-streaming-and-messaging-for-realtime-data,,
Virtual,C,11/10/2022,AllDayDevops,FLiP Stack for Cloud Data Lakes,https://www.slideshare.net/bunkertor/all-day-devops-flip-stack-for-cloud-data-lakes,,
Virtual,C,11/15/2022,OSA Conference,Streaming Data Made Easy,https://www.slideshare.net/bunkertor/osa-con-2022-streaming-data-made-easy,,
Virtual,C,11/23/2022,Big Data Conference,FLiP into Pulsar Apps,https://www.slideshare.net/bunkertor/bigdata-2022-flip-into-pulsar-apps,,
Virtual,C,11/29/2022,Machine Intelligence Guild,Build ML Enhanced Event Streaming Apps with java and Python,https://www.slideshare.net/bunkertor/machine-intelligence-guild-build-ml-enhanced-event-streaming-applications-with-java-and-python-microservices,,
Virtual,C,12/8/2022,DSCamp Online,Apache Pulsar for ML,,https://www.youtube.com/watch?v=4Fh48IL3rUA&t=13s,
NYC,M,12/14/2022,Pulsar Meetup NYC,Building Realtime Requires a Team,https://www.slideshare.net/bunkertor/nyc-dec-2022-meetup-building-realtime-requires-a-team,https://www.youtube.com/watch?v=k8Eey16OQMg&t=282s&pp=ygUQIlRpbSBTcGFubiIgbmlmaQ%3D%3D,
NJ,M,12/16/2022,Pulsar Meetup Princeton,NiFi-Flink-Pulsar,https://www.slideshare.net/bunkertor/princeton-dec-2022-meetup-nifi-flink-pulsar,,
Virtual,C,1/13/2023,Data Science Online Camp,Pulsar for ML,,https://www.youtube.com/watch?v=4Fh48IL3rUA&t=3s,
Virtual,C,1/27/2023,Conf42: DevOps,Modern Data Streaming Apps with Python,https://www.slideshare.net/bunkertor/building-modern-data-streaming-apps-with-python,https://www.youtube.com/watch?v=OBLRKO67xxE&t=127s,
Virtual,C,1/27/2023,Scylla Summit,Sink Your Teeth into Streaming at Any Scale,https://www.slideshare.net/bunkertor/sink-your-teeth-into-streaming-at-any-scale,https://www.scylladb.com/presentations/sink-your-teeth-into-streaming-at-any-scale/,
Virtual,C,1/27/2023,Spring One / Tanzu Virtual,Let's Keep it Simple and Streaming,https://www.slideshare.net/bunkertor/lets-keep-it-simple-and-streaming,https://www.youtube.com/watch?v=m7Xe6ZddSFg,
Virtual,C,1/27/2023,Spring One / Tanzu Virtual,Living the Stream Dream with Pulsar and Spring Boot,https://www.slideshare.net/bunkertor/living-the-stream-dream-with-pulsar-and-spring-boot,,
Virtual,M,1/27/2023,Meetup,Why Spring Belongs in Your Data Stream from Edge to Multicloud,https://www.slideshare.net/bunkertor/why-spring-belongs-in-your-data-stream-from-edge-to-multicloud,,
Virtual,W,1/30/2023,StreamNative Webinar,Using Pulsar REST API,https://www.youtube.com/watch?v=pds3gizWEyw&ab_channel=StreamNative,,
Virtual,C,2/21/2023,Online Summit for Java Devs,Living the Stream Dream with Pulsar and Spring Boot,https://www.slideshare.net/bunkertor/living-the-stream-dream-with-pulsar-and-spring-boot-256064590,,
Virtual,M,2/23/2023,Rising Wave Streaming Meetup,The Next Generation of Streaming,https://www.slideshare.net/bunkertor/the-next-generation-of-streaming,https://www.youtube.com/watch?v=5lFXI5333mg&ab_channel=RisingWave,
Virtual,C,3/9/2023,Hazelcast Unconference,Roundtable,https://www.slideshare.net/bunkertor/unconference-round-table-notes,https://hazelcast.com/resources/real-time-stream-processing-roundtable-featuring-industry-practitioners/,
Virtual,C,3/9/2023,Conf42: Python,Python Pulsar,https://www.slideshare.net/bunkertor/conf42-python-ml-enhanced-event-streaming-apps-with-python-microservices,https://www.youtube.com/watch?v=1NPgN91FrPU&t=319s&ab_channel=Conf42,
Philly,M,3/15/2023,Philly JUG,Intro to Apache Pulsar for Java,https://www.slideshare.net/bunkertor/phillyjug-getting-started-with-realtime-cloud-native-streaming-with-java,https://www.youtube.com/watch?v=ufQwbpmLIi4&list=PLlmpIaH7URGXvyslOrhSG8KAfZf56vtr3&index=48,
Virtual,C,3/16/2023,Python Web Conference,Pulsar for ML,https://www.slideshare.net/bunkertor/pythonwebconference-cloud-native-apache-pulsar-development-202-with-python,,
NJ,C,3/17/2023,Trenton Computer Festival Pro,Modern Streaming,https://www.slideshare.net/bunkertor/itpc-building-modern-data-streaming-apps,https://www.youtube.com/watch?v=iT60STl-Wuk&list=PLlmpIaH7URGXvyslOrhSG8KAfZf56vtr3&index=52,
Virtual,M,3/30/2023,Pulsar Meetup NYC,Pulsar + Flink,,https://www.youtube.com/watch?v=PywcAsMBiKs&pp=ygUQIlRpbSBTcGFubiIgbmlmaQ%3D%3D,
Virtual,C,3/31/2023,Warsaw IT,NiFi 202,https://www.slideshare.net/bunkertor/warsawitdays-apachenifi202,,
Atlanta,C,4/4/2023,DevNexus,Pulsar,https://www.slideshare.net/bunkertor/devnexus-apache-pulsar-development-101-with-java,https://www.youtube.com/watch?v=-qzPgwmE32I&pp=ygUOdGltIHNwYW5uIG5pZmk%3D,
SF,M,4/25/2023,FoD Meetup,Streaming Data Pipeline Development,https://www.meetup.com/futureofdata-sanfrancisco/events/292453316/,https://youtu.be/HeXTwpsIvxo,
SF,C,4/26/2023,Real Time Analytics Summit,"Pulsar, Pinot, Flink, NiFi",https://www.slideshare.net/bunkertor/rtas-2023-building-a-realtime-iot-application,https://www.youtube.com/watch?v=NMgkPFEQ0jA&pp=ygUOdGltIHNwYW5uIG5pZmk%3D,https://rtasummit.com/session/building-a-real-time-iot-application-with-apache-pulsar-and-apache-pinot/
Virtual,W,5/3/2023,Meet the Committers,Intro,https://www.slideshare.net/bunkertor/meet-the-committers-webinar-lab-preparation,https://www.youtube.com/watch?v=TftfqToEduw&list=PLlmpIaH7URGXvyslOrhSG8KAfZf56vtr3&index=68,
NJ,M,5/9/2023,GSJug,Java and Pulsar,https://www.slideshare.net/bunkertor/gsjug-mastering-data-streaming-pipelines-09may2023,https://www.youtube.com/watch?v=EoKEl9q_H0c&t=5428s&ab_channel=GardenStateJavaUserGroup,
Vancouver,C,5/10/2023,OSS Summit North America,Building Modern Data Streaming Apps with Open Source,https://www.youtube.com/watch?v=WvPqE8J3ZOE&pp=ygUOdGltIHNwYW5uIG5pZmk%3D,,
Raleigh,R,5/17/2023,IBM Data & AI Enablement,Cloudera DataFlow,,https://www.youtube.com/watch?v=9mYd4ISF8KY&list=PLlmpIaH7URGXvyslOrhSG8KAfZf56vtr3&index=61,
Virtual,C,5/23/2023,Pulsar Summit Europe,Building a Full Lifecycle Streaming Data Pipeline,https://www.slideshare.net/bunkertor/using-apache-nifi-with-apache-pulsar-for-fast-data-onramp,https://www.youtube.com/watch?v=X7m4nZH8bUw&pp=ygUOdGltIHNwYW5uIG5pZmk%3D,
Virtual,C,5/24/2023,Big Data Fest,,https://www.slideshare.net/ssuser73434e/bigdatafest-building-modern-data-streaming-apps-258024601,https://www.youtube.com/watch?v=qW9CP8Xngk4&list=PLlmpIaH7URGXvyslOrhSG8KAfZf56vtr3&index=64,
Virtual,C,5/30/2023,Tanzu Spring Pivotal,https://tanzu.vmware.com/developer/tv/golden-path/35/,https://www.youtube.com/watch?v=UZRvUyjNWmg&t=49s&pp=ygUOdGltIHNwYW5uIG5pZmk%3D,,
Virtual,C,6/8/2023,Budapest Data Forum,https://budapestdata.hu/2023/en/speakers/timothy-spann/,https://www.slideshare.net/bunkertor/budapest-dataml-building-modern-data-streaming-apps-with-nifi-flink-and-kafka,,
Virtual,C,6/14/2023,Cloudera Now 2023,https://www.cloudera.com/about/events/cloudera-now-cdp.html,https://www.slideshare.net/secret/zqt6sVd4XMeCoG,,
Virtual,C,6/26/2023,NLIT Summit,NiFi,,,
Virtual,M,6/28/2023,Streaming Meetup,"Streaming Pipelines Done Well, Not Well Done",https://www.slideshare.net/ssuser73434e/future-of-data-milwaukee-meetup-streaming-data-pipeline-development-28-june-2023,https://www.youtube.com/watch?v=1xFha8va7pg,
Virtual,C,7/27/2023,WeAreDevelopers World Congress,Building Real-Time Pipelines with FLank,https://www.slideshare.net/bunkertor/building-realtime-pipelines-with-flank-a-case-study-with-transit-data,,
NYC,C,8/23/2023,AI Dev Day,Data In Motion to Supercharge AI,https://www.slideshare.net/bunkertor/aidevday-datainmotion-to-supercharge-ai,,
Virtual,W,9/13/2023,Cloudera Now USA,Streaming AI,https://www.cloudera.com/about/events/cloudera-now-cdp.html?,,
Virtual,W,9/14/2023,Partner Skillup,Enable a Streaming CDC Solution Cloudera,https://www.slideshare.net/bunkertor/partnerskillupenable-a-streaming-cdc-solution,,
Sao Paulo,M,9/19/2023,Brasil Meetup,Data in Motion  ,https://www.slideshare.net/bunkertor/meetup-brasil-data-in-motion-2023-september-19-261164487,,
Sao Paulo,C,9/21/2023,Evolve Brasil,"Streaming Pipelines Done Well, Not Well Done",,https://br.cloudera.com/about/events/evolve/sao-paulo.html#register,
Virtual,V,9/21/2023,HTAP Summit,The Neverlanding Stream,https://www.slideshare.net/bunkertor/the-never-landing-stream-with-htap-and-streaming,,
Halifax,C,10/8/2023,Community over Code,2 talks,https://www.slideshare.net/bunkertor/coc23-looking-at-the-new-features-of-apache-nifi,https://www.slideshare.net/bunkertor/coc23utilizing-realtime-transit-data-for-travel-optimization,https://www.slideshare.net/bunkertor/coc23-lets-monitor-the-conditions-at-the-conference
NYC,M,10/26/2023,NYC Meetup,Adding Generative AI to Real-Time Streaming Pipelines,https://www.meetup.com/futureofdata-newyork/events/295516928/,https://www.slideshare.net/bunkertor/26oct2023adding-generative-ai-to-realtime-streaming-pipelines-nyc-meetup,
Virtual,W,10/26/2023,Cloudera Now EMEA,Streaming AI,https://www.cloudera.com/about/events/cloudera-now-cdp/emea.html,,
Virtual,V,11/1/2023,AI Dev World Virtual,Apache NiFi 101,https://www.slideshare.net/bunkertor/aidevworldapachenifi101-a533,,
Virtual,W,11/1/2023,DZone Events Data Pipelines,Roundtable on the modern stack,,,
NYC,C,11/2/2023,NYC Evolve,Streaming LLM,https://www.slideshare.net/bunkertor/evolve-2023-nyc-integrating-ai-into-realtime-data-pipelines-demo,https://web.cvent.com/event/fc2faaba-544f-4a2f-a386-660105003aa3/summary?cid=701Hr0000029jaLIAQ&keyplay=ALL&utm_campaign=FY24-Q2_AMER_Evolve_NYC_HUB&utm_medium=virtual-event&utm_source=resources-module,
Virtual,C,11/2/2023,FInOS NYC,Unlocking Financial Data with Real-Time Pipelines,,,
Virtual,C,11/21/2023,JCon World,Continuous SQL with Kafka and Flink,https://www.slideshare.net/bunkertor/jconworld-continuous-sql-with-kafka-and-flink,,
Virtual,C,11/22/2023,Big Data,Building Real-Time Travel Alerts,https://www.slideshare.net/bunkertor/building-realtime-travel-alerts,,
Virtual,C,11/23/2023,Data Science Summit,Integrating LLM with Streaming Data Pipelines,https://www.slideshare.net/bunkertor/endss23tspannintegrating-llm-with-streaming-data-pipelines,,
Virtual,C,12/14/2023,OSA Conference,Unlocking Financial Data with Real-Time Pipelines,,,
NYC,M,2/8/2024,NYOSDI Meetup,"Building Real-time Pipelines: A Case Study with Transit Data (Tim Spann, Cloudera)",https://www.slideshare.net/slideshows/ny-open-source-data-meetup-feb-8-2024-building-realtime-pipelines-with-flank-a-case-study-with-transit-data/266227433,https://www.youtube.com/watch?v=VjmC4J7KZgw&t=9s&pp=ygUOdGltIHNwYW5uIG5pZmk%3D,https://www.meetup.com/new-york-open-source-data-infrastructure-meetup/events/297484047/
Virtual,M,2/20/2024,DBA Fundamentals,Continuous SQL with Kafka and Flink,https://www.slideshare.net/slideshows/dba-fundamentals-group-continuous-sql-with-kafka-and-flink/266403113,https://www.youtube.com/@DBAFundamentals/videos,https://www.meetup.com/dba-fundamentals-group/events/296855261/
NYC,M,2/22/2024,AI Camp NYC,Codeless Generative AI Pipelines,https://www.slideshare.net/slideshows/2024-feb-ai-meetup-nyc-genaillmsmldata-codeless-generative-ai-pipelines/266444687,https://www.youtube.com/@AICamp/videos,https://www.aicamp.ai/event/eventdetails/W2024022214
NYC,M,2/28/2024,Future of Data Meetup,"Unlocking Financial Data with Real-Time Pipelines
(Flink Analytics on Stocks with SQL )",https://www.slideshare.net/slideshows/2024-february-28-nyc-meetup-unlocking-financial-data-with-realtime-pipelines/266539528,,
Virtual,C,2/29/2024,Conf42 Python,NiFi with Python and FLaNK,https://www.slideshare.net/slideshows/conf42pythonbuilding-apache-nifi-20-python-processors/266522007 https://www.slideshare.net/slideshows/conf42python-using-apache-nifi-apache-kafka-risingwave-and-apache-iceberg-with-stock-data-and-llm/266521940,,
